Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,Matches
Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,32,1988,6,0,0,0,,0,0,,,,0,0,0,Matches
Dayot Upamecano\d248cd8f,fr FRA,DF,Bayern Munich,22,1998,24.6,1,10,1,10,0.41,0.04,0.1,1,12.3,0,0,0,Matches
Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,27,1993,2,0,0,0,,0,0,,,,0,0,0,Matches
Mark Uth\a3ddb1b9,de GER,MFFW,Köln,29,1991,22.5,5,69,19,27.5,3.07,0.84,0.07,0.26,17.8,4,0,0,Matches
Ruben Vargas\6ecbddf6,ch SUI,MFFW,Augsburg,22,1998,22,1,39,6,15.4,1.77,0.27,0.03,0.17,17.9,0,0,0,Matches
Sebastian Vasiliadis\d3112d86,gr GRE,MF,Arminia,23,1997,13.3,0,12,2,16.7,0.91,0.15,0,0,24.5,0,0,0,Matches
Mickey van de Ven\8fe2a392,nl NED,DF,Wolfsburg,20,2001,2.1,0,0,0,,0,0,,,,0,0,0,Matches
Vincent Vermeij\7e629adc,nl NED,MF,Freiburg,26,1994,0,0,0,0,,0,0,,,,0,0,0,Matches
Gabriel Vidovic\5360a956,hr CRO,MF,Bayern Munich,17,2003,0.4,0,0,0,,0,0,,,,0,0,0,Matches
Nick Viergever\e38f1636,nl NED,DF,Greuther Fürth,31,1989,23.7,0,2,1,50,0.08,0.04,0,0,4.9,0,0,0,Matches
Andreas Voglsammer\daa78200,de GER,FWMF,Union Berlin,29,1992,9.8,2,34,15,44.1,3.47,1.53,0.06,0.13,13.4,2,0,0,Matches
Kevin Vogt\1d8e9add,de GER,DF,Hoffenheim,29,1991,28.5,0,3,0,0,0.11,0,0,,29.8,0,0,0,Matches
Aster Vranckx\f86cd5df,be BEL,MF,Wolfsburg,18,2002,12.7,2,25,8,32,1.97,0.63,0.08,0.25,20.1,4,0,0,Matches
Luca Waldschmidt\e5a35ae9,de GER,MFFW,Wolfsburg,25,1996,8,1,17,3,17.6,2.13,0.38,0.06,0.33,16.9,0,0,0,Matches
Paul Wanner\cb64672e,de GER,FWMF,Bayern Munich,15,2005,0.4,0,0,0,,0,0,,,,0,0,0,Matches
Wout Weghorst\c4e87b8b,nl NED,FW,Wolfsburg,28,1992,17.3,6,38,19,50,2.2,1.1,0.13,0.26,11.9,0,1,2,Matches
Noah Weißhaupt\dd676a97,de GER,MFFW,Freiburg,19,2001,1.1,0,0,0,,0,0,,,,0,0,0,Matches
Silvan Widmer\f68b64fc,ch SUI,DF,Mainz 05,28,1993,32.4,4,23,8,34.8,0.71,0.25,0.17,0.5,16.4,0,0,0,Matches
Jetro Willems\9050ddc4,nl NED,DF,Greuther Fürth,27,1994,17.8,1,12,3,25,0.68,0.17,0.08,0.33,20.3,1,0,0,Matches
Patrick Wimmer\cb11b429,at AUT,FWMF,Arminia,20,2001,22.8,3,57,15,26.3,2.5,0.66,0.05,0.2,19.3,3,0,0,Matches
Jonas Wind\2077ae86,dk DEN,FWMF,Wolfsburg,22,1999,13.1,5,35,16,45.7,2.67,1.22,0.14,0.31,13.6,0,0,0,Matches
