Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Jack Wilshere\9c318325,eng ENG,MF,AGF,29,1992,7.8,0,3,1,33.3,0.38,0.13,0,0,,0,0,Matches
Jonas Wind\2077ae86,dk DEN,FW,FC Copenhagen,22,1999,14.4,6,50,22,44,3.48,1.53,0.1,0.23,,1,1,Matches
Maxwell Woledzi\2b8798a6,gh GHA,DF,Nordsjælland,20,2001,6.2,0,1,1,100,0.16,0.16,0,0,,0,0,Matches
Arthur Yamga\77f55dd8,cm CMR,DF,Vejle BK,24,1996,5.6,0,3,1,33.3,0.54,0.18,0,0,,0,0,Matches
Jan Žamb?rek\395880a4,cz CZE,MF,Viborg,20,2001,3.9,0,6,1,16.7,1.52,0.25,0,0,,0,0,Matches
Zeca\f15b778f,gr GRE,MF,FC Copenhagen,32,1988,10.1,1,6,2,33.3,0.59,0.2,0.17,0.5,,0,0,Matches
Guðmundur Þórarinsson\ded30989,is ISL,MFDF,Aalborg,29,1992,4,0,4,1,25,1.01,0.25,0,0,,0,0,Matches
Stefán Þórðarson\ed9daa96,is ISL,MF,Silkeborg,22,1998,17,2,38,8,21.1,2.24,0.47,0.05,0.25,,0,0,Matches
Aron Þrándarson\6175499e,is ISL,MF,Odense,26,1994,17.3,0,15,3,20,0.87,0.17,0,0,,0,0,Matches
Luka ?or?evi?\ea0cc5c5,me MNE,FW,Vejle BK,27,1994,11,5,27,11,40.7,2.45,1,0.19,0.45,,0,0,Matches
