Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gustav Dahl\afd2c53a,dk DEN,DF,Silkeborg,25,1996,10,10,888,9.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Marc Dal Hende\1404b749,dk DEN,DFMF,SønderjyskE,30,1990,30,29,2616,29.1,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,Matches
Eskild Dall\f64253a3,dk DEN,FW,AGF,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Henrik Dalsgaard\563cbac0,dk DEN,DF,Midtjylland,32,1989,28,28,2423,26.9,2,1,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,Matches
Mohammed Daramy\06a1d642,dk DEN,MFFW,FC Copenhagen,19,2002,6,6,433,4.8,2,1,2,0,0,0,0,0.42,0.21,0.62,0.42,0.62,Matches
Viljormur Davidsen\ab7c9060,fo FRO,DF,Vejle BK,30,1991,12,10,864,9.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Kellian van der Kaap\955aecc5,nl NED,DF,Viborg,22,1998,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frans Dhia Putros\0102aa7e,iq IRQ,DF,Viborg,28,1993,27,17,1553,17.3,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Kevin Diks\f179ee11,nl NED,DF,FC Copenhagen,24,1996,26,21,1950,21.7,2,3,2,0,0,6,1,0.09,0.14,0.23,0.09,0.23,Matches
Mohammed Diomande\663629ae,ci CIV,MF,Nordsjælland,19,2001,25,19,1500,16.7,3,0,3,0,0,7,0,0.18,0,0.18,0.18,0.18,Matches
Marko Divkovic\807cb743,hr CRO,FW,Brøndby,22,1999,23,16,1311,14.6,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
Dominic\a3ab54b8,br BRA,FW,Vejle BK,26,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mouhamadou Drammeh\309937e7,fr FRA,MF,Vejle BK,22,1999,21,16,1329,14.8,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
Anders Dreyer\c6486b01,dk DEN,FW,Midtjylland,23,1998,16,16,1362,15.1,8,8,8,0,0,0,0,0.53,0.53,1.06,0.53,1.06,Matches
Zach Duncan\5e2b88fa,au AUS,MF,AGF,21,2000,6,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nikolas Dyhr\0b243559,dk DEN,MF,Midtjylland,20,2001,25,14,1364,15.2,1,2,1,0,0,1,0,0.07,0.13,0.2,0.07,0.2,Matches
Mads Døhr Thychosen\29e298a8,dk DEN,DF,Nordsjælland,24,1997,17,16,1413,15.7,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Mads Døhr Thychosen\29e298a8,dk DEN,DFMF,Midtjylland,24,1997,12,10,930,10.3,2,0,2,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
Marvin Egho\7764b2fc,at AUT,FW,Randers,27,1994,10,6,526,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Anosike Ementa\fbe39f7e,dk DEN,FW,Aalborg,19,2002,13,0,117,1.3,0,1,0,0,0,1,0,0,0.77,0.77,0,0.77,Matches
Dimitrios Emmanouilidis\5ac5fcab,gr GRE,FWMF,Vejle BK,20,2000,26,11,974,10.8,3,2,3,0,0,1,0,0.28,0.18,0.46,0.28,0.46,Matches
Lukas Engel\aedaf328,dk DEN,DF,Silkeborg,22,1998,15,15,1240,13.8,2,1,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches
Lukas Engel\aedaf328,dk DEN,MFFW,Vejle BK,22,1998,17,10,862,9.6,2,1,2,0,0,1,0,0.21,0.1,0.31,0.21,0.31,Matches
Mads Enggaard\f95dc7a4,dk DEN,MF,Randers,17,2004,7,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julius Eskesen\35753f28,dk DEN,MFFW,SønderjyskE,22,1999,13,6,585,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Evander\4352d221,br BRA,MF,Midtjylland,23,1998,29,28,2344,26,12,6,8,4,4,2,1,0.46,0.23,0.69,0.31,0.54,Matches
Saeid Ezatolahi\314d95ac,ir IRN,MF,Vejle BK,24,1996,13,11,902,10,1,0,1,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
Wahidullah Faghir\93c9e7d9,dk DEN,FW,Vejle BK,18,2003,7,7,630,7,2,0,2,0,0,2,0,0.29,0,0.29,0.29,0.29,Matches
Rasmus Falk\762179d9,dk DEN,MF,FC Copenhagen,29,1992,22,20,1814,20.2,0,3,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
Oskar Fallenius\7004c558,se SWE,FW,Brøndby,19,2001,5,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andri Fannar Baldursson\61f2f56a,is ISL,MF,FC Copenhagen,19,2002,3,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Joel Felix\b644e40d,dk DEN,DF,Silkeborg,23,1998,20,14,1420,15.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Max Fenger\c39080f7,dk DEN,FWMF,Odense,19,2001,32,18,1635,18.2,6,0,6,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
Pedro Ferreira\fb39d792,pt POR,MF,Aalborg,23,1998,17,14,1198,13.3,2,0,2,0,0,9,1,0.15,0,0.15,0.15,0.15,Matches
Bård Finne\78699620,no NOR,FWMF,SønderjyskE,26,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolai Flø\ef0ea1ab,dk DEN,GK,SønderjyskE,25,1995,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adama Fofana\1754914f,ci CIV,MF,Vejle BK,20,2001,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Iver Fossum\ce218223,no NOR,MF,Aalborg,25,1996,30,30,2582,28.7,8,4,7,1,1,1,1,0.28,0.14,0.42,0.24,0.38,Matches
Oscar Fraulo\458e3479,dk DEN,MF,Midtjylland,17,2003,1,0,20,0.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Emil Frederiksen\0639e42e,dk DEN,FWMF,SønderjyskE,20,2000,22,17,1350,15,3,1,3,0,0,1,0,0.2,0.07,0.27,0.2,0.27,Matches
Morten Frendrup\f4d60499,dk DEN,MF,Brøndby,20,2001,15,13,1206,13.4,2,0,2,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Martin Frese\b910e9c0,dk DEN,DFMF,Nordsjælland,23,1998,30,23,2011,22.3,1,3,1,0,0,5,0,0.04,0.13,0.18,0.04,0.18,Matches
Christian Friedrich\85615790,dk DEN,DF,Brøndby,18,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mads Frøkjær-Jensen\108e44ca,dk DEN,MF,Odense,22,1999,28,20,1602,17.8,6,3,6,0,0,4,0,0.34,0.17,0.51,0.34,0.51,Matches
Anton Gaaei\6f7d7bc2,dk DEN,FW,Viborg,18,2002,5,2,190,2.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ruben Gabrielsen\9e64fc85,no NOR,DF,FC Copenhagen,29,1992,4,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jose Gallegos\1141c543,us USA,MFFW,SønderjyskE,19,2001,13,7,621,6.9,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Christian Gammelgaard\67c22de2,dk DEN,FW,Vejle BK,18,2003,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Stefan Gartenmann\62f7c156,dk DEN,DF,SønderjyskE,24,1997,31,31,2790,31,2,1,2,0,0,4,0,0.06,0.03,0.1,0.06,0.1,Matches
Alex Gersbach\494bff86,au AUS,DF,AGF,24,1997,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robert Gojani\65465292,se SWE,MF,Silkeborg,28,1992,22,16,1456,16.2,0,5,0,0,0,1,1,0,0.31,0.31,0,0.31,Matches
Lorenzo Gordinho\79be9ee9,za RSA,DF,Viborg,27,1994,4,2,259,2.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kamil Grabara\62182b1d,pl POL,GK,FC Copenhagen,22,1999,32,32,2880,32,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Daniel Granli\76ccbee2,no NOR,DFMF,Aalborg,27,1994,27,27,2166,24.1,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Simon Graves Jensen\b1027206,dk DEN,DF,Randers,22,1999,21,20,1676,18.6,0,1,0,0,0,4,1,0,0.05,0.05,0,0.05,Matches
Mads Greve\5c2f10f6,dk DEN,DF,Vejle BK,31,1989,2,2,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathias Greve\98ca4feb,dk DEN,MFFW,Brøndby,26,1995,25,8,924,10.3,1,1,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,Matches
Mathias Greve\98ca4feb,dk DEN,MF,Randers,26,1995,3,3,247,2.7,1,2,1,0,0,1,0,0.36,0.73,1.09,0.36,1.09,Matches
Albert Gronbaek Erlykke\0da5076f,dk DEN,MFFW,AGF,20,2001,31,22,1968,21.9,3,4,3,0,0,4,0,0.14,0.18,0.32,0.14,0.32,Matches
Jay-Roy Grot\9a8241af,nl NED,FW,Viborg,23,1998,25,21,1592,17.7,5,0,5,0,0,2,0,0.28,0,0.28,0.28,0.28,Matches
Sten Grytebust\c9f11454,no NOR,GK,Vejle BK,31,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jeppe Grønning\b289970e,dk DEN,MF,Viborg,30,1991,28,26,2255,25.1,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
Sebastian Grønning\8da24e7d,dk DEN,FW,Viborg,24,1997,17,16,1413,15.7,6,1,6,0,0,3,0,0.38,0.06,0.45,0.38,0.45,Matches
Thomas Gundelund\c29b12a0,dk DEN,DFMF,Vejle BK,19,2001,11,4,456,5.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Eduardo Dos Santos Haesler\1b9a46d1,de GER,GK,Nordsjælland,22,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Anders Hagelskjær\5c550ee1,dk DEN,DF,Aalborg,24,1997,28,17,1863,20.7,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Vejle BK,27,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vito Hammershøy-Mistrati\35676d63,dk DEN,MFFW,Randers,29,1992,31,28,2454,27.3,7,2,6,1,2,1,0,0.26,0.07,0.33,0.22,0.29,Matches
Marcus Hannesbo\f5bc3524,dk DEN,MF,Aalborg,19,2002,12,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Hansen\5a98a7bd,dk DEN,GK,Nordsjælland,25,1995,15,15,1350,15,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Casper Hansen\c852f996,dk DEN,FW,Aalborg,19,2002,6,0,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jesper Hansen\a3b952f8,dk DEN,GK,AGF,36,1985,31,31,2790,31,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kian Hansen\18d226a9,dk DEN,DF,Nordsjælland,32,1989,26,25,1997,22.2,2,0,2,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Mads Hansen\f04a3092,dk DEN,FWMF,Nordsjælland,19,2002,15,13,1040,11.6,2,1,2,0,0,0,0,0.17,0.09,0.26,0.17,0.26,Matches
Mads Hansen\f04a3092,dk DEN,MF,Midtjylland,19,2002,7,0,74,0.8,1,0,1,0,0,0,0,1.22,0,1.22,1.22,1.22,Matches
Mads Hansen\9e958fe2,dk DEN,MF,SønderjyskE,20,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hallur Hansson\15032d57,fo FRO,MFFW,Vejle BK,29,1992,6,6,539,6,1,1,1,0,0,3,0,0.17,0.17,0.33,0.17,0.33,Matches
Sebastian Hausner\5ba8a86b,dk DEN,DF,AGF,21,2000,24,21,1858,20.6,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Simon Hedlund\5e167a35,se SWE,FWMF,Brøndby,28,1993,29,26,2155,23.9,4,9,3,1,1,5,0,0.17,0.38,0.54,0.13,0.5,Matches
Henrik Heggheim\8a3aabc1,no NOR,DF,Brøndby,20,2001,14,11,1030,11.4,1,0,1,0,0,3,1,0.09,0,0.09,0.09,0.09,Matches
Nicklas Helenius\ae3d2f47,dk DEN,FW,Silkeborg,30,1991,29,29,2518,28,17,2,15,2,2,2,0,0.61,0.07,0.68,0.54,0.61,Matches
Mads Hermansen\c924b17d,dk DEN,GK,Brøndby,21,2000,29,29,2610,29,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Heron\fa94d227,br BRA,DFMF,Vejle BK,20,2000,16,10,888,9.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lundrim Hetemi\ab803f01,dk DEN,MF,Vejle BK,21,2000,22,9,1038,11.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Malthe Hojholt\b52b9079,dk DEN,MF,Aalborg,20,2001,30,27,2299,25.5,0,0,0,0,0,8,0,0,0,0,0,0,Matches
