Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yasin Ayari\f173303a,se SWE,MF,AIK Stockholm,17,2003,12,3,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ferhad Ayaz\bcdad511,se SWE,MF,Degerfors,26,1994,14,11,740,8.2,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
Keanin Ayer Boya\5b5c4d01,za RSA,MF,Varberg,20,2000,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Victor Backman\cc9bac69,se SWE,MF,Kalmar,19,2001,13,1,210,2.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Joseph Baffo\ee18a2b7,se SWE,DF,Halmstad,28,1992,28,28,2512,27.9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Nabil Bahoui\8689dccc,se SWE,FWMF,AIK Stockholm,29,1991,27,21,1819,20.2,10,0,10,0,0,2,0,0.49,0,0.49,0.49,0.49,Matches
Emmanuel Banda\e0fdefca,zm ZAM,MFFW,Djurgården,23,1997,22,5,700,7.8,4,0,4,0,0,2,0,0.51,0,0.51,0.51,0.51,Matches
Nicklas Bärkroth\7635ba42,se SWE,FW,Djurgården,29,1992,28,17,1502,16.7,4,4,4,0,0,0,0,0.24,0.24,0.48,0.24,0.48,Matches
Felix Beijmo\71115017,se SWE,DF,Malmö,23,1998,14,11,978,10.9,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Henrik Bellman\940d842b,se SWE,MF,Östersund,21,1999,22,17,1448,16.1,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
Adam Benediktsson\8be7e8db,is ISL,GK,Göteborg,18,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Bengtsson\3d2c6036,se SWE,DF,Halmstad,24,1996,30,30,2675,29.7,0,2,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
Leo Bengtsson\25cde772,se SWE,MFFW,Häcken,22,1998,28,26,2117,23.5,6,1,6,0,0,7,0,0.26,0.04,0.3,0.26,0.3,Matches
Moustafa Benshi\3293de09,sy SYR,MF,Kalmar,19,2002,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcus Berg\b39bf63f,se SWE,FW,Göteborg,34,1986,18,18,1589,17.7,10,2,10,0,0,3,0,0.57,0.11,0.68,0.57,0.68,Matches
Oliver Berg\6053df96,no NOR,FWMF,Kalmar,27,1993,30,29,2597,28.9,12,5,9,3,3,1,0,0.42,0.17,0.59,0.31,0.49,Matches
Gustav Berggren\b8103669,se SWE,MF,Häcken,23,1997,27,27,2374,26.4,1,5,1,0,0,8,0,0.04,0.19,0.23,0.04,0.23,Matches
Niclas Bergmark\ac907675,se SWE,DF,Örebro,19,2002,8,5,520,5.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Doug Bergqvist\73221bb0,se SWE,DF,Kalmar,27,1993,17,15,1268,14.1,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Jacob Bergström\665d3deb,se SWE,FW,Mjällby,25,1995,29,24,2280,25.3,9,2,9,0,0,3,0,0.36,0.08,0.43,0.36,0.43,Matches
Alexander Bernhardsson\dea1d183,se SWE,FWMF,Elfsborg,22,1998,21,7,801,8.9,4,3,4,0,0,2,0,0.45,0.34,0.79,0.45,0.79,Matches
Alexander Berntsson\8b08c8d3,se SWE,DF,Halmstad,24,1996,11,2,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Johan Bertilsson\52c3464a,se SWE,FWMF,Degerfors,32,1988,30,21,1866,20.7,8,2,5,3,3,1,0,0.39,0.1,0.48,0.24,0.34,Matches
Nahir Besara\2fadcd15,se SWE,MFFW,Örebro,29,1991,17,17,1494,16.6,4,4,3,1,1,3,0,0.24,0.24,0.48,0.18,0.42,Matches
Egzon Binaku\63a304f3,al ALB,DF,Norrköping,25,1995,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jon Birkfeldt\c0ded652,se SWE,DF,Varberg,24,1996,13,11,869,9.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Veljko Birman?evi?\636247ca,rs SRB,MFFW,Malmö,22,1998,28,23,1958,21.8,9,2,9,0,0,2,0,0.41,0.09,0.51,0.41,0.51,Matches
Aron Bjarnason\a6e092ea,is ISL,FW,Sirius,25,1995,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jóhannes Bjarnason\481ac871,is ISL,MF,Norrköping,15,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattias Bjärsmyr\15927d77,se SWE,DF,Göteborg,35,1986,30,30,2620,29.1,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,Matches
Carl Björk\3b2bdc7e,se SWE,FWMF,Norrköping,21,2000,26,19,1734,19.3,7,2,7,0,0,0,0,0.36,0.1,0.47,0.36,0.47,Matches
Eric Björkander\141935d3,se SWE,DF,Mjällby,24,1996,11,11,990,11,1,0,1,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
Tim Björkström\d95042fd,se SWE,DF,Sirius,30,1991,21,21,1890,21,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Markus Björkvist\848b190c,se SWE,MF,Malmö,17,2003,4,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Erik Björndahl\87d38e82,se SWE,FW,Örebro,30,1990,12,3,354,3.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Daniel Björnquist\903aa3e3,se SWE,DFMF,Örebro,32,1989,19,8,874,9.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Björnström\8db38187,se SWE,MFDF,Sirius,25,1995,9,9,810,9,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
Davor Blaževi?\afbb68eb,se SWE,GK,Hammarby,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
