Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Henri Eninful\94da0db1,tg TOG,MF,Lahti,28,1992,11.3,6,1,0,,,,,,,,,0,Matches
Juanan Entrena\5e89c73b,es ESP,MF,HIFK,24,1996,8.8,3,0,0,,,,,,,,,0,Matches
Sergei Eremenko\e9a549af,fi FIN,MF,AC Oulu,22,1999,13.4,0,0,0,,,,,,,,,0,Matches
Juan Esnáider Ruiz\11894e8c,es ESP,FW,KTP,29,1992,10.1,3,1,1,,,,,,,,,0,Matches
Felipe\b48a5b74,es ESP,DF,HIFK,25,1995,19,2,1,0,,,,,,,,,0,Matches
Yann-Alexandre Fillion\2f9592b0,ca CAN,GK,AC Oulu,24,1996,20.5,2,0,0,,,,,,,,,0,Matches
Rico Finnäs\9f1f5786,fi FIN,FW,KTP,20,2000,13.5,2,0,0,,,,,,,,,0,Matches
Petteri Forsell\7df6ffdf,fi FIN,FWMF,Inter Turku,30,1990,10.8,2,0,0,,,,,,,,,0,Matches
Oskari Forsman\9f7b9c00,fi FIN,GK,IFK Mariehamn,33,1988,25,0,0,0,,,,,,,,,0,Matches
Lassi Forss\8ebe881f,fi FIN,DF,Lahti,19,2002,6.8,1,0,0,,,,,,,,,0,Matches
Niklas Friberg\a239833a,fi FIN,DF,Haka,24,1996,23.2,4,0,0,,,,,,,,,0,Matches
Timo Furuholm\9f5bc094,fi FIN,FW,Inter Turku,33,1987,24.5,10,0,0,,,,,,,,,0,Matches
Ian Garret\a99f9b18,us USA,MF,KTP,24,1996,4.7,2,0,0,,,,,,,,,0,Matches
Lucas Rangel Nunes Gonçalves\626f44ac,br BRA,FWMF,KuPS,26,1994,7.8,6,0,0,,,,,,,,,0,Matches
Oliver Günes\2a4dcd15,tr TUR,MF,SJK,18,2002,0.1,0,0,0,,,,,,,,,0,Matches
Santeri Haarala\2e18f55b,fi FIN,MF,KuPS,21,1999,16.2,2,0,0,,,,,,,,,0,Matches
Aatu Hakala\da1db4b0,fi FIN,GK,Haka,20,2000,8,0,0,0,,,,,,,,,0,Matches
Daniel Håkans\eb3cf40c,fi FIN,FW,SJK,20,2000,9.1,2,0,0,,,,,,,,,0,Matches
Jukka Halme\8f4dcaa1,fi FIN,MF,HIFK,35,1985,8,4,0,0,,,,,,,,,0,Matches
Markus Halsti\e595364f,fi FIN,DFMF,HJK,36,1984,3.2,0,0,0,,,,,,,,,0,Matches
Juuso Hämäläinen\81733bb9,fi FIN,DF,Inter Turku,27,1993,15.6,7,1,0,,,,,,,,,0,Matches
Taneli Hämäläinen\d2bdf86c,fi FIN,DF,KuPS,19,2001,20.1,1,0,0,,,,,,,,,0,Matches
Vahid Hambo\bc93a41c,fi FIN,FW,IFK Mariehamn,25,1995,8.9,0,0,0,,,,,,,,,0,Matches
Pyry Hannola\f8f687e1,fi FIN,MF,SJK,19,2001,19.6,5,0,0,,,,,,,,,0,Matches
Noel Hasa\ffef9d59,fi FIN,MF,Ilves,17,2003,0.3,0,0,0,,,,,,,,,0,Matches
Dani Hatakka\2326b3c5,fi FIN,DF,FC Honka,26,1994,16.5,5,0,0,,,,,,,,,0,Matches
Martti Haukioja\7f0b8b5d,fi FIN,DF,Inter Turku,21,1999,13.3,4,0,0,,,,,,,,,0,Matches
Aapo Heikkilä\7a6469df,fi FIN,MF,AC Oulu,26,1994,14.3,2,0,0,,,,,,,,,0,Matches
Tapio Heikkilä\bdf77152,fi FIN,DF,FC Honka,30,1990,11.5,2,0,0,,,,,,,,,0,Matches
Benjamin Heikkinen\ed0614e6,fi FIN,FW,FC Honka,18,2002,0.5,0,0,0,,,,,,,,,0,Matches
Daniel Heikkinen\99543b59,,MF,FC Honka,,,0.1,0,0,0,,,,,,,,,0,Matches
Artuu Heinonen\335ca491,fi FIN,MF,KuPS,21,1999,6.3,2,0,0,,,,,,,,,0,Matches
Philip Hellquist\9ff00d0f,se SWE,FWMF,KuPS,29,1991,0.5,0,0,0,,,,,,,,,0,Matches
Alan Henrique\c15f666c,br BRA,DF,IFK Mariehamn,29,1991,11.3,5,0,0,,,,,,,,,0,Matches
Luís Henrique\ae67800f,br BRA,FW,HJK,22,1998,6,1,0,0,,,,,,,,,0,Matches
Luís Henrique\ae67800f,br BRA,FW,FC Honka,22,1998,6.1,0,0,0,,,,,,,,,0,Matches
Aldayr Hernández\0e89355f,co COL,DF,HIFK,25,1995,25.9,5,0,0,,,,,,,,,0,Matches
Loorents Hertsi\690341e9,fi FIN,MF,Lahti,28,1992,15.9,1,0,0,,,,,,,,,0,Matches
Javier Hervás\04b8d5c8,es ESP,MF,Lahti,31,1989,17,6,0,0,,,,,,,,,0,Matches
Mehmet Hetemaj\bcd491be,fi FIN,DFMF,SJK,33,1987,4.3,1,0,0,,,,,,,,,0,Matches
Mika Hilander\53e32365,fi FIN,GK,Haka,37,1983,19,0,0,0,,,,,,,,,0,Matches
Antto Hilska\44618497,fi FIN,FW,Haka,27,1993,6.7,1,0,0,,,,,,,,,0,Matches
Macario Hing-Glover\39d0f760,us USA,MF,HIFK,25,1995,18.3,2,1,0,,,,,,,,,0,Matches
Arttu Hoskonen\d5efd527,fi FIN,MF,Inter Turku,23,1997,9.7,2,0,0,,,,,,,,,0,Matches
Santeri Hostikka\73b1d487,fi FIN,DFMF,HJK,23,1997,4.2,1,0,0,,,,,,,,,0,Matches
Matej Hradecký\962993e3,fi FIN,MF,HIFK,25,1995,22.4,1,0,0,,,,,,,,,0,Matches
Jesse Huhtala\06a2ae5c,fi FIN,FW,Haka,20,2000,1,0,0,0,,,,,,,,,0,Matches
Jarkko Hurme\fc59a732,fi FIN,DF,AC Oulu,34,1986,5.1,5,1,1,,,,,,,,,0,Matches
Anttoni Huttunen\556ff3a2,fi FIN,MF,KTP,19,2001,0.1,0,0,0,,,,,,,,,0,Matches
Eetu Huuhtanen\d661c31f,fi FIN,GK,Ilves,18,2003,3,0,0,0,,,,,,,,,0,Matches
Juho Hyvärinen\14c11fb6,fi FIN,MF,Inter Turku,20,2000,7.3,1,0,0,,,,,,,,,1,Matches
Kennedy Igboananike\c434903d,ng NGA,FW,IFK Mariehamn,31,1989,5.3,1,0,0,,,,,,,,,0,Matches
J?nis Ikaunieks\2d319b80,lv LVA,MF,KuPS,25,1995,3.9,0,0,0,,,,,,,,,0,Matches
Lasse Ikonen\b413a98c,fi FIN,MF,AC Oulu,18,2003,1.9,1,0,0,,,,,,,,,0,Matches
