Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Amahl Pellegrino\9d9e69df,no NOR,FW,Bodø/Glimt,30,1990,13,6,38,16,42.1,2.91,1.23,0.13,0.31,,1,1,Matches
Adrian Pereira\1c62f712,no NOR,DF,Rosenborg,21,1999,0.6,0,0,0,,0,0,,,,0,0,Matches
Pernambucor\ec61b68f,br BRA,MF,Bodø/Glimt,22,1998,1.4,0,10,3,30,7.32,2.2,0,0,,0,0,Matches
Dan Peter Ulvestad\f118d91f,no NOR,DF,Kristiansund,31,1989,18.7,1,9,3,33.3,0.48,0.16,0.11,0.33,,0,0,Matches
Oliver Petersen\17c602ca,no NOR,GK,Molde,19,2001,5,0,0,0,,0,0,,,,0,0,Matches
Tom Pettersson\c1268aa3,se SWE,DF,Lillestrøm,30,1990,16.1,3,6,4,66.7,0.37,0.25,0.5,0.75,,0,0,Matches
Nicolas Pignatel Jenssen\1512bdc2,no NOR,DF,Stabæk,19,2002,23.2,0,7,2,28.6,0.3,0.09,0,0,,0,0,Matches
Tomás Podstawski\991a28c4,pt POR,MF,Stabæk,26,1995,6.3,0,5,1,20,0.79,0.16,0,0,,0,0,Matches
Christophe Psyché\282a91fb,fr FRA,DF,Tromsø,32,1988,12.4,0,7,1,14.3,0.56,0.08,0,0,,0,0,Matches
Lars Ranger\73ed5e65,no NOR,MFDF,Lillestrøm,21,1999,20.7,2,31,8,25.8,1.5,0.39,0.06,0.25,,0,0,Matches
Mathias Rasmussen\99549c4b,no NOR,MF,Brann,23,1997,21.6,2,48,13,27.1,2.23,0.6,0.04,0.15,,0,0,Matches
Magnus Riisnæs\f5f2a449,no NOR,MF,Vålerenga,16,2004,0,0,0,0,,0,0,,,,0,0,Matches
Birk Risa\c70b221c,no NOR,DF,Molde,22,1998,11.9,2,8,3,37.5,0.67,0.25,0.25,0.67,,0,0,Matches
Sander Risan Mørk\768cfef9,no NOR,MF,Sandefjord,20,2000,12.1,2,15,8,53.3,1.24,0.66,0.13,0.25,,0,0,Matches
Jesper Robertsen\4e8a0f26,no NOR,MF,Tromsø,16,2004,0.3,0,0,0,,0,0,,,,0,0,Matches
Stian Rode Gregersen\5f011e05,no NOR,DF,Molde,25,1995,11,1,5,2,40,0.46,0.18,0.2,0.5,,0,0,Matches
Gilli Rólantsson\865306d1,fo FRO,DFFW,Odd,28,1992,18.5,1,14,2,14.3,0.76,0.11,0.07,0.5,,0,0,Matches
Sondre Rossbach\a32554bc,no NOR,GK,Odd,24,1996,17,0,0,0,,0,0,,,,0,0,Matches
Joachim Rothmann\61f0d968,dk DEN,FW,Tromsø,20,2000,1.2,0,3,0,0,2.57,0,0,,,0,0,Matches
Alexander Ruud Tveter\2eb7eb41,no NOR,FW,Sandefjord,29,1991,26.6,6,43,20,46.5,1.62,0.75,0.14,0.3,,0,0,Matches
Espen Ruud\ca1efb13,no NOR,DF,Odd,36,1984,19.2,2,14,6,42.9,0.73,0.31,0.14,0.33,,0,0,Matches
Martin Rønning Ovenstad\52dea9c3,no NOR,FW,Mjøndalen,26,1994,22,3,40,17,42.5,1.82,0.77,0.08,0.18,,0,0,Matches
Look Saa Mickelson\d5088b9a,no NOR,DF,Strømsgodset,21,1999,0.8,0,1,0,0,1.32,0,0,,,0,0,Matches
Uche Sabastine\28c596a3,ng NGA,FW,Stabæk,20,2000,0.6,0,0,0,,0,0,,,,0,0,Matches
Osame Sahraoui\6f9fa232,no NOR,MFFW,Vålerenga,19,2001,24.3,2,50,10,20,2.06,0.41,0.04,0.2,,0,0,Matches
Vajebah Sakor\14813a41,no NOR,MF,Brann,24,1996,1.1,0,2,0,0,1.75,0,0,,,0,0,Matches
Anton Salétros\3da8c3f9,se SWE,MFFW,Sarpsborg 08,24,1996,24.8,3,39,13,33.3,1.57,0.52,0.08,0.23,,0,0,Matches
Ulrik Saltnes\f6af14b0,no NOR,MF,Bodø/Glimt,28,1992,22,8,58,23,39.7,2.64,1.05,0.14,0.35,,0,0,Matches
Alfons Sampsted\5d873dfb,is ISL,DF,Bodø/Glimt,22,1998,28.3,0,10,2,20,0.35,0.07,0,0,,0,0,Matches
Martin Samuelsen\746df5d3,no NOR,FWMF,Haugesund,23,1997,7.7,2,17,6,35.3,2.2,0.77,0.12,0.33,,0,0,Matches
Marcus Sandberg\308d850e,se SWE,GK,Stabæk,30,1990,28.5,0,0,0,,0,0,,,,0,0,Matches
Niklas Sandberg\62a90cfb,no NOR,MFFW,Haugesund,25,1995,24.4,3,42,16,38.1,1.72,0.65,0.05,0.13,,1,1,Matches
Mads Sande\d3c59d4e,no NOR,MF,Haugesund,22,1998,4.3,1,5,2,40,1.16,0.46,0.2,0.5,,0,0,Matches
Edvard Sandvik Tagseth\215918bf,no NOR,MF,Rosenborg,20,2001,13.6,1,16,5,31.3,1.18,0.37,0.06,0.2,,0,0,Matches
