Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ole Christian Sæter\6f8fc4e0,no NOR,FW,Rosenborg,24,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mads Christiansen\0c872cdf,no NOR,GK,Lillestrøm,20,2000,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Per Ciljan Skjelbred\ecab64a0,no NOR,MF,Rosenborg,33,1987,17,11,936,10.4,1,2,1,0,0,4,0,0.1,0.19,0.29,0.1,0.29,Matches
Aliou Coly\027bd318,sn SEN,DF,Kristiansund,28,1992,28,24,2249,25,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches
Alex Craninx\b947001e,es ESP,GK,Lillestrøm,25,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Erlend Dahl Reitan\6b14ce11,no NOR,DF,Rosenborg,23,1997,28,28,2490,27.7,1,8,1,0,0,4,0,0.04,0.29,0.33,0.04,0.33,Matches
Rolf Daniel Vikstøl\403d44ed,no NOR,DF,Viking,31,1989,22,17,1333,14.8,2,1,2,0,0,6,0,0.14,0.07,0.2,0.14,0.2,Matches
Brynjolfur Darri Willumsson\a597bf9a,is ISL,FWMF,Kristiansund,20,2000,21,6,712,7.9,0,1,0,0,0,4,0,0,0.13,0.13,0,0.13,Matches
Filip Delaveris\1ad971b6,no NOR,FWMF,Brann,20,2000,12,4,432,4.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikkel Desler\1d5c96f8,dk DEN,DF,Haugesund,25,1995,10,10,900,10,1,0,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
Ole Didrik Blomberg\250abfbf,no NOR,DF,Brann,20,2000,15,11,988,11,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Amidou Diop\f7f657a4,sn SEN,MF,Kristiansund,28,1992,27,25,2028,22.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Vetle Dragsnes\6062bd22,no NOR,MFDF,Lillestrøm,26,1994,30,30,2670,29.7,2,3,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,Matches
Mathias Dyngeland\00a0b181,no NOR,GK,Vålerenga,25,1995,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikael Dyrestam\3354f7d4,gn GUI,DF,Sarpsborg 08,29,1991,24,24,2095,23.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Aron Dønnum\10cff752,no NOR,FW,Vålerenga,22,1998,10,9,762,8.5,6,3,4,2,3,2,0,0.71,0.35,1.06,0.47,0.83,Matches
Moses Ebiye\8bc0c3cd,ng NGA,FW,Tromsø,23,1997,23,19,1586,17.6,8,3,8,0,0,0,0,0.45,0.17,0.62,0.45,0.62,Matches
Zé Eduardo\cb2d343d,br BRA,MF,Sandefjord,29,1991,18,5,588,6.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Oliver Edvardsen\b54b05e2,no NOR,FWMF,Stabæk,21,1999,25,20,1658,18.4,7,4,7,0,0,1,0,0.38,0.22,0.6,0.38,0.6,Matches
Vetle Egeli\fed7524b,no NOR,MF,Sandefjord,16,2004,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Ellingsen\1d42db4a,no NOR,MF,Molde,25,1995,7,6,495,5.5,2,0,0,2,2,2,0,0.36,0,0.36,0,0,Matches
Mathias Emilsen\eca45998,no NOR,MF,Vålerenga,17,2003,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Endresen\901d82bc,no NOR,FW,Haugesund,18,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jacob Eng\b8b63e3e,no NOR,FW,Vålerenga,16,2004,6,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pål Erik Ulvestad\abcce9e2,no NOR,MF,Kristiansund,30,1990,20,8,841,9.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ivar Erlien Furu\8dffc38c,no NOR,DF,Kristiansund,26,1994,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Runar Espejord\16322a52,no NOR,FW,Tromsø,24,1996,17,10,820,9.1,0,4,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
Henrik Falchener\57fe6b9b,no NOR,DF,Sandefjord,17,2003,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristian Fardal Opseth\769f9f28,no NOR,FW,Sarpsborg 08,31,1990,16,5,604,6.7,5,1,5,0,0,0,0,0.75,0.15,0.89,0.75,0.89,Matches
Julian Faye-Lund\ca3fff03,no NOR,GK,Rosenborg,21,1999,5,4,386,4.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bård Finne\78699620,no NOR,FWMF,Brann,25,1995,15,14,1052,11.7,4,2,4,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches
David Fofana\e82900ef,ci CIV,FW,Molde,18,2002,18,1,320,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vegard Forren\d75eebda,no NOR,DF,Brann,32,1988,11,9,823,9.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sander Foss\dd6c1712,no NOR,DF,Sandefjord,22,1998,28,26,2431,27,2,0,2,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches
Ulrik Fredriksen\f8242397,no NOR,DF,Haugesund,21,1999,27,26,2341,26,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Fred Friday\fbaf247c,ng NGA,FW,Strømsgodset,25,1995,30,29,2481,27.6,7,1,7,0,0,3,0,0.25,0.04,0.29,0.25,0.29,Matches
Samúel Friðjónsson\55557b25,is ISL,MF,Viking,24,1996,25,16,1493,16.6,5,2,5,0,0,4,0,0.3,0.12,0.42,0.3,0.42,Matches
Espen Garnås\f0d43928,no NOR,DF,Lillestrøm,26,1994,27,26,2322,25.8,2,0,2,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
Christian Gauseth\497627e2,no NOR,MF,Mjøndalen,36,1984,21,16,1231,13.7,0,2,0,0,1,3,0,0,0.15,0.15,0,0.15,Matches
Herman Geelmuyden\d03e4082,no NOR,MF,Stabæk,19,2002,19,4,611,6.8,2,1,2,0,0,3,0,0.29,0.15,0.44,0.29,0.44,Matches
Lennart Grill\37998008,de GER,GK,Brann,22,1999,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Magnus Grødem\f6e8ee38,no NOR,MF,Molde,22,1998,19,1,284,3.2,1,1,1,0,0,0,0,0.32,0.32,0.63,0.32,0.63,Matches
Thomas Grøgaard\836689d0,no NOR,DF,Strømsgodset,26,1994,13,7,732,8.1,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Thomas Grøgaard\836689d0,no NOR,MFDF,Brann,26,1994,8,3,271,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Gulliksen\7f24d8d9,no NOR,MFFW,Strømsgodset,17,2003,27,23,1937,21.5,5,1,5,0,0,5,0,0.23,0.05,0.28,0.23,0.28,Matches
Jostein Gundersen\bf4aca93,no NOR,DF,Tromsø,24,1996,18,18,1590,17.7,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Kristoff Gunnarshaug\d1508ecc,no NOR,MF,Haugesund,21,1999,4,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Niklas Gunnarsson\64fbb7f4,no NOR,DF,Strømsgodset,29,1991,19,17,1533,17,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches
Patrik Gunnarsson\4d39152d,is ISL,GK,Viking,20,2000,7,7,557,6.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Sivert Gussiås\16855f19,no NOR,FW,Sandefjord,21,1999,12,0,200,2.2,1,0,1,0,1,0,0,0.45,0,0.45,0.45,0.45,Matches
Daniel Gustavsson\887e19ae,se SWE,FWMF,Lillestrøm,30,1990,27,18,1575,17.5,2,2,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
Mats Haakenstad\c85826b7,no NOR,DF,Sandefjord,27,1993,17,17,1474,16.4,0,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Elias Hadaya\6c43465f,se SWE,GK,Kristiansund,22,1998,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tobias Hafstad\b76eec70,no NOR,FW,Tromsø,18,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Elias Hagen\7673e4bc,no NOR,MF,Bodø/Glimt,21,2000,17,6,709,7.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Steffen Hagen\2ba1985a,no NOR,DF,Odd,34,1986,7,6,559,6.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nikita Haikin\60831426,ru RUS,GK,Bodø/Glimt,25,1995,29,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Thomas Hallstensen\f7e37b89,no NOR,MF,Odd,18,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simen Hammershaug\fa7a3f3f,no NOR,FW,Strømsgodset,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adrian Hansen\4b35ec8b,no NOR,DF,Mjøndalen,19,2001,6,3,275,3.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
André Hansen\5e91ddf8,no NOR,GK,Rosenborg,31,1989,26,26,2314,25.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Benjamin Hansen\8916e76c,dk DEN,DF,Haugesund,26,1994,29,29,2610,29,2,0,2,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
Kornelius Hansen\a7273643,no NOR,MFFW,Stabæk,19,2001,25,21,1807,20.1,2,3,2,0,0,2,1,0.1,0.15,0.25,0.1,0.25,Matches
Sondre Hanssen\12ff6acb,no NOR,DF,Strømsgodset,19,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kjetil Haug\d3ae48eb,no NOR,GK,Vålerenga,22,1998,14,14,1223,13.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fredrik Haugen\8b25b500,no NOR,MF,Stabæk,28,1992,13,12,993,11,3,2,3,0,0,1,0,0.27,0.18,0.45,0.27,0.45,Matches
Herman Haugen\da9f4fa3,no NOR,DF,Viking,20,2000,10,0,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kristoffer Haugen\52d7f819,no NOR,DF,Molde,26,1994,25,20,1939,21.5,6,1,6,0,0,4,0,0.28,0.05,0.32,0.28,0.32,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,Lillestrøm,29,1991,2,0,30,0.3,0,1,0,0,0,0,0,0,3,3,0,3,Matches
Kent Håvard Eriksen\64dcc35f,no NOR,FW,Mjøndalen,29,1991,16,10,912,10.1,3,1,3,0,0,0,0,0.3,0.1,0.39,0.3,0.39,Matches
Aune Heggebø\70d2c6e7,no NOR,FW,Brann,19,2001,22,19,1662,18.5,8,2,8,0,0,1,0,0.43,0.11,0.54,0.43,0.54,Matches
Henrik Heggheim\8a3aabc1,no NOR,DF,Viking,19,2001,17,17,1483,16.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sivert Heltne Nilsen\d676dd35,no NOR,MF,Brann,29,1991,15,15,1350,15,0,1,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
Markus Henriksen\26acecd2,no NOR,MF,Rosenborg,28,1992,9,9,703,7.8,1,0,1,0,0,3,1,0.13,0,0.13,0.13,0.13,Matches
Sebastian Henriksen\400256ed,no NOR,DF,Viking,18,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leo Hermansen\fd401b77,no NOR,MF,Sarpsborg 08,17,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eirik Hestad\315e74cf,no NOR,MFFW,Molde,25,1995,17,13,1086,12.1,3,3,3,0,0,0,0,0.25,0.25,0.5,0.25,0.5,Matches
Vebjørn Hoff\7b462b1e,no NOR,MF,Rosenborg,24,1996,16,16,1399,15.5,0,4,0,0,0,3,0,0,0.26,0.26,0,0.26,Matches
Noah Holm\61b77d0a,no NOR,FW,Rosenborg,19,2001,15,13,1159,12.9,3,2,3,0,0,2,0,0.23,0.16,0.39,0.23,0.39,Matches
Fredrik Holmé\3dddb2e4,no NOR,MF,Vålerenga,19,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlo Holse\e248e62f,dk DEN,FWMF,Rosenborg,21,1999,29,25,2301,25.6,7,6,7,0,0,0,0,0.27,0.23,0.51,0.27,0.51,Matches
Onyekachi Hope Ugwuadu\2eecbeb0,ng NGA,FW,Odd,23,1997,5,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Hopmark\62b38ef8,no NOR,DFMF,Kristiansund,29,1991,28,28,2520,28,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,Matches
Johan Hove\0a32c00c,no NOR,MF,Strømsgodset,20,2000,29,29,2497,27.7,6,3,6,0,0,1,0,0.22,0.11,0.32,0.22,0.32,Matches
Runar Hove\ee3eec6e,no NOR,DF,Viking,25,1995,14,8,782,8.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Runar Hove\ee3eec6e,no NOR,DF,Brann,25,1995,6,4,476,5.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Even Hovland\d1fea02e,no NOR,DF,Rosenborg,31,1989,29,28,2565,28.5,2,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
Etzaz Hussain\c3853da6,no NOR,MF,Molde,28,1993,27,23,1860,20.7,2,5,2,0,0,4,0,0.1,0.24,0.34,0.1,0.34,Matches
Gaute Høberg Vetti\947239ca,no NOR,MF,Sarpsborg 08,22,1998,8,6,531,5.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Marius Høibråten\952afd27,no NOR,DF,Bodø/Glimt,26,1995,23,12,1398,15.5,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
Tommy Høiland\b5e2ec59,no NOR,FWMF,Viking,31,1989,8,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Martin Høyland\4eb19c82,no NOR,MF,Stabæk,25,1995,8,7,580,6.4,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
Shuaibu Ibrahim\e88ce61f,ng NGA,FW,Mjøndalen,24,1996,6,1,107,1.2,1,0,1,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
Ogbu Igoh\8af1b3a2,ng NGA,DF,Lillestrøm,20,2000,26,26,2330,25.9,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches
Yaw Ihle Amankwah\27f2d937,no NOR,DF,Stabæk,32,1988,13,10,896,10,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Bjørn Inge Utvik\5e388ecf,no NOR,DF,Sarpsborg 08,24,1996,28,27,2375,26.4,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
Mikael Ingebrigtsen\57ec4a53,no NOR,FWMF,Tromsø,24,1996,6,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jack Ipalibo\73e620c1,ng NGA,MF,Strømsgodset,22,1998,22,12,998,11.1,3,0,3,0,0,3,0,0.27,0,0.27,0.27,0.27,Matches
Jesper Isaksen\043f7a23,no NOR,MF,Kristiansund,21,1999,17,9,896,10,1,1,1,0,0,4,0,0.1,0.1,0.2,0.1,0.2,Matches
Dino Islamovi?\721608e5,me MNE,FW,Rosenborg,27,1994,21,17,1481,16.5,6,2,6,0,0,3,0,0.36,0.12,0.49,0.36,0.49,Matches
Daniel Janevski\ee722e58,se SWE,DF,Mjøndalen,28,1992,7,7,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sebastian Jarl\d002e865,no NOR,MF,Sarpsborg 08,21,2000,6,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Seedy Jatta\7b04c5cb,no NOR,FW,Vålerenga,17,2003,24,7,768,8.5,2,0,2,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Niklas Jensen\cb6bdd4a,no NOR,MF,Brann,16,2004,9,5,385,4.3,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
Anders Jenssen\e62d881a,no NOR,DF,Tromsø,27,1993,26,23,2040,22.7,1,0,1,0,0,3,1,0.04,0,0.04,0.04,0.04,Matches
Milan Jevtovi?\34bf7740,rs SRB,FW,Odd,27,1993,11,1,282,3.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Eirik Johansen\576ea36c,no NOR,GK,Brann,28,1992,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Peder Johansen\3370367b,no NOR,MF,Sandefjord,17,2003,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sondre Johansen\4893fefc,no NOR,DF,Mjøndalen,25,1995,16,16,1440,16,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
Kevin Johnsen\6c81108c,no NOR,DF,Odd,20,2000,2,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
