Player,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches
Brynjar Johnsplass\7485590c,Brynjar Johnsplass\7485590c,no NOR,DF,17.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Mattias Käit\eef2e16a,Mattias Käit\eef2e16a,ee EST,MF,22.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Vegard Leikvoll Moberg\f89d91d9,Vegard Leikvoll Moberg\f89d91d9,no NOR,MF,30.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Tomas Rataj\acb63228,Tomas Rataj\acb63228,cz CZE,DF,17.0,0.0,0.0,,,,,,,,,,,,,,,Matches
Ola Brynhildsen\ffe5ecdb,Ola Brynhildsen\ffe5ecdb,no NOR,MF,21.0,30.0,29.0,2394.0,26.6,5.0,8.0,5.0,0.0,0.0,3.0,0.0,0.19,0.3,0.49,0.19,0.49,Matches
Ohi Omoijuanfo\9d115f7a,Ohi Omoijuanfo\9d115f7a,no NOR,FW,27.0,29.0,28.0,2359.0,26.2,27.0,2.0,27.0,0.0,2.0,3.0,0.0,1.03,0.08,1.11,1.03,1.11,Matches
Martin Bjørnbak\eb49bd3f,Martin Bjørnbak\eb49bd3f,no NOR,DF,28.0,27.0,26.0,2319.0,25.8,3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Andreas Linde\4d6a842d,Andreas Linde\4d6a842d,se SWE,GK,27.0,25.0,25.0,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sheriff Sinyan\47c1458c,Sheriff Sinyan\47c1458c,gm GAM,DF,24.0,24.0,23.0,2008.0,22.3,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.13,0.04,0.18,0.13,0.18,Matches
Etzaz Hussain\c3853da6,Etzaz Hussain\c3853da6,no NOR,MF,28.0,27.0,23.0,1860.0,20.7,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.1,0.24,0.34,0.1,0.34,Matches
Magnus Wolff Eikrem\3a770838,Magnus Wolff Eikrem\3a770838,no NOR,MF,30.0,24.0,21.0,1613.0,17.9,5.0,8.0,5.0,0.0,0.0,2.0,0.0,0.28,0.45,0.73,0.28,0.73,Matches
Kristoffer Haugen\52d7f819,Kristoffer Haugen\52d7f819,no NOR,DF,26.0,25.0,20.0,1939.0,21.5,6.0,1.0,6.0,0.0,0.0,4.0,0.0,0.28,0.05,0.32,0.28,0.32,Matches
Eirik Ulland Andersen\5f06ae82,Eirik Ulland Andersen\5f06ae82,no NOR,MF,28.0,23.0,16.0,1394.0,15.5,6.0,4.0,6.0,0.0,0.0,3.0,0.0,0.39,0.26,0.65,0.39,0.65,Matches
Fredrik Aursnes\f0677ed7,Fredrik Aursnes\f0677ed7,no NOR,MF,25.0,15.0,15.0,1307.0,14.5,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.07,0.34,0.41,0.07,0.41,Matches
Erling Knudtzon\123dd5e2,Erling Knudtzon\123dd5e2,no NOR,DFMF,32.0,25.0,15.0,1278.0,14.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Eirik Hestad\315e74cf,Eirik Hestad\315e74cf,no NOR,MFFW,25.0,17.0,13.0,1086.0,12.1,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,Matches
