Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Markus Henriksen\26acecd2,no NOR,MF,Rosenborg,28,1992,7.8,3,1,1,11,9,0,8,14,9,,,0,Matches
Sebastian Henriksen\400256ed,no NOR,DF,Viking,18,2002,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Leo Hermansen\fd401b77,no NOR,MF,Sarpsborg 08,17,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
Eirik Hestad\315e74cf,no NOR,MFFW,Molde,25,1995,12.1,0,0,0,8,10,3,10,2,7,,,0,Matches
Vebjørn Hoff\7b462b1e,no NOR,MF,Rosenborg,24,1996,15.5,3,0,0,9,18,1,14,13,23,,,0,Matches
Noah Holm\61b77d0a,no NOR,FW,Rosenborg,19,2001,12.9,2,0,0,15,33,10,5,2,15,,,0,Matches
Fredrik Holmé\3dddb2e4,no NOR,MF,Vålerenga,19,2001,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Carlo Holse\e248e62f,dk DEN,FWMF,Rosenborg,21,1999,25.6,0,0,0,25,41,2,165,27,37,,,0,Matches
Onyekachi Hope Ugwuadu\2eecbeb0,ng NGA,FW,Odd,23,1997,0.5,0,0,0,0,2,1,2,1,1,,,0,Matches
Andreas Hopmark\62b38ef8,no NOR,DFMF,Kristiansund,29,1991,28,1,0,0,26,11,0,3,46,42,,,0,Matches
Johan Hove\0a32c00c,no NOR,MF,Strømsgodset,20,2000,27.7,1,0,0,27,16,2,34,25,30,,,0,Matches
Runar Hove\ee3eec6e,no NOR,DF,Viking,25,1995,8.7,1,0,0,8,2,1,0,6,8,,,0,Matches
Runar Hove\ee3eec6e,no NOR,DF,Brann,25,1995,5.3,0,0,0,1,3,0,0,5,9,,,0,Matches
Even Hovland\d1fea02e,no NOR,DF,Rosenborg,31,1989,28.5,1,0,0,14,18,0,2,27,17,,,2,Matches
Etzaz Hussain\c3853da6,no NOR,MF,Molde,28,1993,20.7,4,0,0,32,14,3,12,36,19,,,0,Matches
Gaute Høberg Vetti\947239ca,no NOR,MF,Sarpsborg 08,22,1998,5.9,1,0,0,2,13,0,1,5,7,,,0,Matches
Marius Høibråten\952afd27,no NOR,DF,Bodø/Glimt,26,1995,15.5,1,0,0,17,18,0,3,24,9,,,0,Matches
Tommy Høiland\b5e2ec59,no NOR,FWMF,Viking,31,1989,0.9,0,0,0,0,0,0,1,0,1,,,0,Matches
Martin Høyland\4eb19c82,no NOR,MF,Stabæk,25,1995,6.4,1,0,0,6,5,0,0,7,9,,,0,Matches
Shuaibu Ibrahim\e88ce61f,ng NGA,FW,Mjøndalen,24,1996,1.2,0,0,0,2,1,2,0,0,2,,,0,Matches
Ogbu Igoh\8af1b3a2,ng NGA,DF,Lillestrøm,20,2000,25.9,6,1,0,26,13,0,2,57,15,,,0,Matches
Yaw Ihle Amankwah\27f2d937,no NOR,DF,Stabæk,32,1988,10,1,0,0,5,5,1,0,16,7,,,0,Matches
Bjørn Inge Utvik\5e388ecf,no NOR,DF,Sarpsborg 08,24,1996,26.4,3,0,0,17,11,2,0,47,21,,,0,Matches
Mikael Ingebrigtsen\57ec4a53,no NOR,FWMF,Tromsø,24,1996,0.8,0,0,0,1,1,0,0,0,0,,,0,Matches
Jack Ipalibo\73e620c1,ng NGA,MF,Strømsgodset,22,1998,11.1,3,0,0,25,2,1,4,24,11,,,0,Matches
Jesper Isaksen\043f7a23,no NOR,MF,Kristiansund,21,1999,10,4,0,0,31,26,2,13,15,13,,,0,Matches
Dino Islamovi?\721608e5,me MNE,FW,Rosenborg,27,1994,16.5,3,0,0,29,29,10,1,10,12,,,0,Matches
Daniel Janevski\ee722e58,se SWE,DF,Mjøndalen,28,1992,6,1,0,0,4,0,0,1,12,3,,,0,Matches
Sebastian Jarl\d002e865,no NOR,MF,Sarpsborg 08,21,2000,1,1,0,0,3,2,0,0,2,3,,,0,Matches
Seedy Jatta\7b04c5cb,no NOR,FW,Vålerenga,17,2003,8.5,0,0,0,17,16,5,5,2,7,,,0,Matches
Niklas Jensen\cb6bdd4a,no NOR,MF,Brann,16,2004,4.3,0,0,0,5,2,1,1,2,8,,,0,Matches
Anders Jenssen\e62d881a,no NOR,DF,Tromsø,27,1993,22.7,3,1,0,35,3,0,2,44,12,,,0,Matches
Milan Jevtovi?\34bf7740,rs SRB,FW,Odd,27,1993,3.1,1,0,0,5,1,0,11,2,5,,,0,Matches
Eirik Johansen\576ea36c,no NOR,GK,Brann,28,1992,5,0,0,0,0,0,0,0,0,0,,,0,Matches
Peder Johansen\3370367b,no NOR,MF,Sandefjord,17,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Sondre Johansen\4893fefc,no NOR,DF,Mjøndalen,25,1995,16,1,0,0,15,13,1,0,25,10,,,1,Matches
Kevin Johnsen\6c81108c,no NOR,DF,Odd,20,2000,0.6,0,0,0,0,0,0,1,0,0,,,0,Matches
Emil Jonassen\edbb7e67,no NOR,DF,Stabæk,27,1993,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Emil Jonassen\edbb7e67,no NOR,DF,Odd,27,1993,1.8,0,0,0,0,2,0,5,2,1,,,0,Matches
Filip Jörgensen\2e6e223a,no NOR,MF,Odd,18,2002,26.2,2,0,0,31,40,1,7,31,30,,,0,Matches
Ole Jørgen Halvorsen\13d74bff,no NOR,FWMF,Sarpsborg 08,33,1987,10.7,3,0,0,17,21,5,30,14,19,,,0,Matches
Kevin Kabran\a1d6139f,se SWE,FWMF,Viking,27,1993,20.1,3,0,0,33,27,5,25,6,12,,,0,Matches
Jordan Kadiri\0ae77d52,ng NGA,FW,Strømsgodset,20,2000,1.8,0,0,0,3,3,0,0,0,0,,,0,Matches
Kaan Kairinen\b3dcc2cf,fi FIN,MF,Lillestrøm,22,1998,16.6,1,0,0,16,19,0,109,17,12,,,0,Matches
Liridon Kalludra\c22336ee,se SWE,MFFW,Kristiansund,29,1991,12.4,3,0,0,23,11,2,27,12,11,,,0,Matches
Benjamin Karamoko\acb9db1b,ml MLI,DF,Sarpsborg 08,25,1995,16.7,5,0,0,22,5,3,2,19,13,,,0,Matches
Jacob Karlstrom\eb6fac77,no NOR,GK,Tromsø,24,1997,30,1,0,0,0,9,0,0,0,2,,,0,Matches
Sander Kartum\15aa1463,no NOR,MF,Kristiansund,25,1995,14,4,0,0,35,17,1,21,23,42,,,0,Matches
Flamur Kastrati\f1972d2e,xk KVX,FW,Kristiansund,29,1991,2.8,2,0,0,6,4,7,4,1,2,,,0,Matches
Flamur Kastrati\f1972d2e,xk KVX,FW,Odd,29,1991,5.4,1,0,0,18,12,6,2,1,1,,,0,Matches
Oleksiy Khoblenko\77d1f9af,ua UKR,FW,Stabæk,26,1994,1.6,1,0,0,2,4,2,1,0,0,,,0,Matches
Jørgen Kili Fjeldskår\c7eda84c,no NOR,DF,Sandefjord,18,2002,0.1,0,0,0,0,1,0,1,1,1,,,1,Matches
Simen Kind Mikalsen\04370015,no NOR,DFMF,Lillestrøm,27,1993,0,0,0,0,0,0,0,0,2,0,,,0,Matches
Kosuke Kinoshita\2b42a1f1,jp JPN,FW,Stabæk,26,1994,6.6,1,0,0,12,12,1,1,1,3,,,0,Matches
Eric Kitolano\9bdb6d1b,no NOR,MF,Tromsø,23,1997,26.3,3,0,0,42,54,6,16,28,29,,,0,Matches
John Kitolano\e9312847,no NOR,DF,Odd,21,1999,25.8,6,0,0,22,34,2,79,45,27,,,0,Matches
Joshua Kitolano\5186dfbf,no NOR,MF,Odd,19,2001,27.2,6,0,0,41,47,0,15,24,29,,,0,Matches
Kristoffer Klaesson\3f70db80,no NOR,GK,Vålerenga,20,2000,14,1,0,0,1,4,0,0,0,0,,,0,Matches
Herman Kleppa\9c8946a8,no NOR,DFMF,Mjøndalen,24,1996,8.3,1,0,0,7,6,0,39,14,7,,,0,Matches
Magnus Knudsen\a48fb0c7,no NOR,MFFW,Lillestrøm,19,2001,11.2,1,0,0,15,13,0,15,14,19,,,0,Matches
Erling Knudtzon\123dd5e2,no NOR,DFMF,Molde,32,1988,14.2,1,0,0,14,7,1,25,25,20,,,0,Matches
Ibrahima Koné\04bb2b06,ml MLI,FW,Sarpsborg 08,21,1999,24.1,5,1,0,39,37,18,7,4,15,,,0,Matches
Vegard Kongsro\59f87305,no NOR,DF,Bodø/Glimt,22,1998,0.6,1,0,0,1,0,0,2,1,1,,,0,Matches
Anders Konradsen\60fd5334,no NOR,MF,Rosenborg,30,1990,8.8,0,0,0,8,11,0,4,11,13,,,0,Matches
Morten Konradsen\0f816ae5,no NOR,MFDF,Bodø/Glimt,24,1996,10.9,1,0,0,10,13,0,42,6,8,,,0,Matches
Gilbert Koomson\e033cfb6,gh GHA,FWMF,Bodø/Glimt,26,1994,0.7,0,0,0,1,2,0,3,0,1,,,0,Matches
Kaloyan Kostadinov\3b07f1ea,no NOR,MF,Stabæk,18,2002,10.4,1,0,0,10,10,0,1,10,11,,,0,Matches
Kreshnik Krasniqi\03d254a7,xk KVX,MF,Strømsgodset,20,2000,9.8,3,0,0,28,9,1,18,23,13,,,0,Matches
Martin Kreuzriegler\002ac0a2,at AUT,DF,Sandefjord,27,1994,25.6,5,0,0,27,15,1,13,54,33,,,0,Matches
